id_estudiante,id_carrera,ingreso,egreso
11,77,2006,2013
16,224,2015,0
94,133,2013,0
71,12,2000,2008
82,132,2010,0
59,2,2003,2010
47,29,2001,2007
59,223,2017,0
11,230,2001,2010
75,129,2007,2013
23,8,2006,2014
4,136,2008,2016
89,65,2000,2010
9,79,2005,2011
66,212,2014,0
46,54,2010,0
51,229,2008,2017
47,131,2016,0
17,9,2018,0
80,224,2015,0
77,214,2005,2011
18,66,2015,0
78,185,2006,2014
97,218,2000,2009
62,157,2014,2019
39,103,2001,2008
47,102,2011,2018
77,121,2002,2007
97,4,2009,2014
16,96,2003,2013
8,202,2005,2012
84,54,2012,0
15,29,2004,2009
94,9,2018,0
99,211,2019,0
9,73,2007,2015
53,196,2011,2017
66,105,2009,2016
27,56,2011,2017
23,75,2015,0
77,166,2017,0
19,5,2007,2017
67,59,2002,2012
74,74,2006,2011
20,59,2009,2017
54,94,2011,2018
4,32,2011,0
92,21,2001,2006
92,184,2002,2007
33,130,2006,2011
63,29,2017,0
42,220,2009,2016
93,96,2014,0
1,197,2000,2008
80,3,2001,2010
78,92,2010,0
99,199,2015,0
41,52,2014,0
61,169,2005,2015
57,175,2008,2017
58,53,2012,2019
98,105,2008,2014
79,22,2011,2018
42,74,2012,2018
56,178,2014,0
36,71,2006,2011
64,220,2017,0
69,128,2007,2012
88,90,2020,0
69,215,2004,2012
29,16,2014,0
11,217,2005,2014
6,68,2008,2018
21,29,2016,0
90,175,2005,2014
91,140,2019,0
66,107,2000,2005
59,215,2018,0
17,18,2018,0
3,2,2011,2016
58,222,2015,0
60,193,2012,0
88,182,2019,0
79,19,2018,0
31,76,2016,0
47,109,2005,2015
67,224,2008,2018
64,89,2018,0
97,211,2001,2006
55,43,2018,0
83,33,2013,0
37,223,2018,0
47,202,2019,0
80,123,2019,0
43,147,2014,0
39,18,2009,2017
20,92,2000,2007
42,237,2014,0
36,141,2004,2011
49,187,2010,2016
4,185,2005,2015
38,175,2007,2017
76,224,2013,2018
66,29,2013,0
89,53,2005,2010
15,80,2005,2014
36,188,2018,0
36,55,2007,2016
37,212,2016,0
22,135,2012,0
18,137,2010,2018
93,81,2006,2015
21,128,2008,2017
83,84,2003,2011
16,230,2007,2017
36,86,2017,0
73,103,2012,2017
61,139,2000,2009
18,63,2015,0
23,120,2010,2016
97,201,2011,2017
35,43,2014,0
95,175,2014,0
7,115,2013,0
2,182,2016,0
58,6,2009,2018
29,70,2005,2011
81,172,2002,2007
92,75,2011,0
46,31,2009,2014
38,51,2018,0
65,35,2000,2010
75,65,2010,2015
42,153,2010,2015
29,47,2003,2010
8,10,2011,2019
37,81,2018,0
1,32,2013,2019
52,90,2006,2015
32,95,2018,0
25,128,2009,2018
63,173,2020,0
81,182,2000,2007
81,90,2006,2014
2,71,2019,0
43,107,2018,0
97,148,2014,0
23,65,2005,2013
12,176,2011,0
2,112,2001,2006
4,55,2005,2015
54,139,2010,2017
7,139,2018,0
47,138,2018,0
32,152,2001,2008
50,133,2006,2016
97,73,2017,0
5,119,2000,2007
84,185,2002,2007
27,209,2019,0
53,215,2013,2019
23,115,2003,2010
72,125,2009,2019
49,191,2000,2010
36,205,2012,0
49,170,2014,2019
92,55,2006,2015
40,106,2020,0
83,193,2006,2011
38,3,2017,0
86,24,2017,0
44,132,2015,0
7,82,2018,0
31,81,2001,2008
47,16,2014,0
93,81,2005,2011
67,119,2010,2018
68,144,2019,0
9,128,2018,0
22,213,2010,0
48,107,2002,2011
73,62,2002,2012
84,144,2004,2014
87,142,2000,2006
8,197,2010,2015
68,54,2018,0
81,41,2003,2013
39,37,2019,0
35,64,2001,2008
65,137,2018,0
67,118,2004,2013
92,146,2003,2009
78,144,2014,0
79,132,2002,2012
17,155,2007,2015
53,230,2003,2011
79,54,2018,0
27,96,2012,0
6,105,2015,0
44,188,2007,2017
80,34,2014,0
46,105,2000,2010
90,55,2020,0
82,110,2002,2012
42,49,2012,2018
94,236,2013,0
20,42,2011,0
59,95,2009,2018
26,4,2020,0
71,139,2003,2013
55,101,2003,2010
78,200,2000,2005
89,238,2020,0
28,234,2001,2008
8,163,2019,0
82,172,2020,0
49,31,2011,2016
88,114,2018,0
82,191,2017,0
42,16,2004,2013
58,221,2020,0
58,4,2014,0
53,158,2016,0
47,103,2006,2013
40,234,2004,2012
60,146,2015,0
27,29,2019,0
45,219,2001,2007
53,188,2010,2019
41,130,2011,2016
53,64,2010,2017
81,50,2008,2014
2,46,2010,2016
8,215,2011,2019
16,162,2006,2013
95,49,2006,2012
74,1,2005,2015
46,209,2010,2019
71,17,2007,2015
15,152,2015,0
37,78,2014,0
55,93,2016,0
67,212,2002,2012
7,73,2013,2018
53,6,2018,0
71,123,2016,0
13,70,2010,0
27,76,2005,2014
54,214,2001,2010
7,44,2014,0
27,31,2010,2016
18,217,2004,2012
35,238,2011,2019
78,172,2008,2013
31,64,2008,2018
17,65,2019,0
6,157,2012,2018
48,156,2005,2010
35,210,2007,2014
12,1,2019,0
68,161,2005,2012
55,79,2007,2014
53,41,2004,2009
95,129,2007,2017
43,36,2010,2015
67,206,2000,2005
19,3,2008,2015
78,40,2012,0
28,137,2006,2014
5,196,2000,2008
33,239,2010,2015
100,22,2014,2019
3,116,2009,2018
6,66,2007,2016
4,106,2016,0
92,10,2006,2012
64,95,2018,0
53,149,2005,2012
28,188,2002,2009
44,223,2011,2019
15,86,2018,0
37,166,2016,0
57,226,2006,2013
21,22,2011,2019
73,164,2020,0
91,166,2007,2016
6,18,2014,0
83,120,2016,0
39,91,2009,2019
60,104,2019,0
51,63,2013,0
56,151,2017,0
89,174,2012,0
35,82,2006,2016
67,155,2018,0
7,70,2015,0
19,135,2016,0
28,191,2002,2009
55,110,2002,2011
67,13,2002,2009
14,172,2002,2010
12,66,2011,0
4,119,2003,2012
60,173,2009,2015
72,35,2016,0
97,179,2020,0
50,123,2009,2014
82,84,2008,2018
57,46,2002,2009
75,225,2011,2019
71,11,2020,0
82,70,2010,0
95,145,2011,2016
100,203,2009,2014
69,39,2019,0
96,204,2008,2013
9,157,2000,2009
39,17,2001,2009
94,151,2012,0
80,224,2014,0
99,230,2004,2012
50,109,2019,0
61,5,2012,0
1,63,2010,0
42,121,2011,2019
42,124,2009,2017
96,52,2020,0
21,158,2009,2018
66,71,2014,0
57,43,2017,0
84,214,2005,2011
41,209,2004,2009
24,51,2020,0
33,74,2004,2014
48,88,2007,2012
46,104,2016,0
40,132,2010,0
88,132,2002,2012
19,99,2015,0
95,24,2008,2013
71,168,2017,0
87,233,2015,0
49,116,2002,2007
21,75,2012,2017
29,133,2008,2017
33,236,2011,2017
9,207,2012,0
80,55,2007,2017
18,7,2016,0
36,25,2010,2015
30,63,2005,2012
100,193,2014,0
40,77,2012,0
9,230,2006,2014
28,70,2000,2010
84,99,2011,2016
11,70,2019,0
38,42,2006,2012
78,102,2011,2017
18,126,2016,0
42,137,2017,0
84,111,2005,2013
66,202,2016,0
23,224,2002,2012
36,190,2002,2008
58,146,2020,0
91,168,2013,0
15,14,2004,2014
47,128,2004,2009
26,163,2018,0
49,89,2014,0
17,172,2002,2010
59,104,2011,2017
87,24,2000,2006
59,9,2015,0
72,21,2002,2012
20,232,2012,0
80,228,2014,0
78,67,2005,2014
4,16,2012,0
2,98,2017,0
72,41,2017,0
60,16,2000,2008
87,189,2017,0
