Ciencias de la Comunicación,Grado,Facultad de Lenguas
Ciencias de la Educación,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Ciencias Físicas,Grado,Facultad de Odontología
Ciencias Geológicas,Grado,Facultad de Ciencias Químicas
Ciencias Matemáticas,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Ciencias Políticas,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Ciencias Químicas,Grado,Facultad de Ciencias Químicas
Cine - Dirección Cinematográfica,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Cocinero,Grado,Facultad de Psicología
Comercio Internacional,Grado,Facultad de Ciencias Sociales
Comisarios de a Bordo y Azafata,Grado,Facultad de Ciencias Químicas
Compaginación Cinematográfica,Grado,Facultad de Ciencias Económicas
Comunicación Publicitaria,Grado,Facultad de Ciencias Económicas
Contador Público,Grado,Facultad de Odontología
"Cosmetología, Cosmiatría y Estética",Grado,Facultad de Ciencias Químicas
Crítica Cinematográfica,Grado,Facultad de Ciencias Económicas
Danza,Grado,Facultad de Lenguas
Despachante de Aeronaves,Grado,Facultad de Ciencias Médicas
Dibujante asistido por Computadora,Grado,Facultad de Ciencias Económicas
Diseño Asistido,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Dirección de cine,Grado,Facultad de Ciencias Sociales
Dirección Teatral,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Diseño Asistido,Grado,Facultad de Ciencias Agropecuarias
Diseño de Animaciones y Dibujos Animados,Grado,Facultad de Ciencias Sociales
Diseño de Espectáculos,Grado,Facultad de Ciencias Económicas
Diseño de Historietas,Grado,Facultad de Ciencias Médicas
Diseño de Imagen Empresaria,Grado,Facultad de Psicología
Diseño de Indumentaria y Textil,Grado,Facultad de Artes
Diseño de Indumentaria con Tecnología Digital aplicada,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Diseño de Información,Grado,Facultad de Ciencias de la Comunicación
Diseño de Interiores - Decorador de Interiores,Grado,Facultad de Lenguas
Diseño de Interiores y Equipamiento,Grado,Facultad de Odontología
Diseño de Mobiliario,Grado,Facultad de Ciencias Agropecuarias
Diseño de Packaging,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Diseño de Parques y Jardines,Grado,Facultad de Ciencias Económicas
"Diseño de Productos, Orientación Indumentaria",Grado,Facultad de Ciencias Agropecuarias
Diseño de Sitios Web,Grado,Facultad de Ciencias Químicas
Diseño del Espacio Escénico,Grado,Facultad de Ciencias Sociales
Diseño en Comunicación Visual,Grado,Facultad de Ciencias Químicas
Diseño Fotográfico,Grado,Facultad de Ciencias Sociales
Diseño Gráfico,Grado,Facultad de Ciencias Económicas
Diseño Gráfico Multimedial,Grado,Facultad de Ciencias Químicas
Diseño Gráfico Publicitario,Grado,Facultad de Ciencias Médicas
Diseño Industrial,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Diseño Informático Editorial,Grado,Facultad de Ciencias Sociales
Diseño Textil e Indumentaria,Grado,Facultad de Ciencias Agropecuarias
Ecología Urbana,Grado,Facultad de Filosofía y Humanidades
Enología y Viticultura,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Estadística,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Estudios Orientales,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Genética,Grado,Facultad de Odontología
Diseño Web,Grado,Facultad de Derecho
Diseño y Programación de Simuladores Virtuales,Grado,Facultad de Ciencias de la Comunicación
Ecología,Grado,Facultad de Ciencias Agropecuarias
Economía y Administración de la Pequeña y Mediana Empresa,Grado,Facultad de Ciencias Médicas
Economía,Grado,Facultad de Odontología
Economía y Administración Agraria,Grado,Facultad de Ciencias Químicas
Edición,Grado,Facultad de Artes
Farmacia,Grado,Facultad de Ciencias Sociales
Filosofía,Grado,Facultad de Psicología
Enfermero Universitario,Grado,Facultad de Ciencias de la Comunicación
Floricultura,Grado,Facultad de Ciencias Médicas
Fonoaudiología,Grado,Facultad de Ciencias de la Comunicación
Fotografía,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Geografía,Grado,Facultad de Filosofía y Humanidades
Gestión Cultural y Emprendimientos Culturales,Grado,Facultad de Filosofía y Humanidades
Gestión de Agroalimentos,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Gestión y Administración Municipal,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Grafología,Grado,Facultad de Ciencias Médicas
Guionista cinematográfico,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Guionista Cinematográfico,Grado,Facultad de Ciencias Médicas
Guionista de Radio y TV,Grado,Facultad de Ciencias Químicas
Hemoterapia,Grado,Facultad de Artes
Historia,Grado,Facultad de Ciencias Médicas
Humanística y Ceremonial,Grado,Facultad de Derecho
Iluminación Cinematográfica,Grado,Facultad de Derecho
Iluminación y Cámara Cinematográficas,Grado,Facultad de Ciencias Sociales
Ingeniería Civil,Grado,Facultad de Ciencias de la Comunicación
Ingeniería de Alimentos,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Ingeniería Electrónica,Grado,Facultad de Ciencias Sociales
Ingeniería en Agrimensura,Grado,Facultad de Ciencias Económicas
Ingeniería en Informática,Grado,Facultad de Ciencias Sociales
Ingeniería en Alimentos,Grado,Facultad de Ciencias Sociales
Ingeniería en Automatización y Control Industrial,Grado,Facultad de Artes
Ingeniería en Ecología,Grado,Facultad de Filosofía y Humanidades
Ingeniería en Materiales,Grado,Facultad de Derecho
Ingeniería en Seguridad e Higiene en el Trabajo,Grado,Facultad de Ciencias de la Comunicación
Ingeniería Zootecnista,Grado,Facultad de Ciencias Agropecuarias
Martillero y Corredor Público,Grado,Facultad de Derecho
Oceanografía,Grado,Facultad de Lenguas
Organización de la Producción,Grado,Facultad de Ciencias Médicas
Ingeniería Mecánica,Grado,Facultad de Ciencias Químicas
Ingeniería Naval y Mecánica,Grado,Facultad de Filosofía y Humanidades
Kinesiología y Fisiatría,Grado,Facultad de Ciencias Químicas
Letras,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Instrumentación Quirúrgica,Grado,Facultad de Ciencias de la Comunicación
Jardinería,Grado,Facultad de Ciencias Económicas
Locutor Integral de Radio y TV,Grado,Facultad de Artes
Manejo de Áreas Protegidas,Grado,Facultad de Ciencias de la Comunicación
Martillero y Corredor Público Rural,Grado,Facultad de Filosofía y Humanidades
Medicina,Grado,Facultad de Ciencias Sociales
Meteorólogo,Grado,Facultad de Ciencias de la Comunicación
Nutrición,Grado,Facultad de Ciencias Médicas
Obstetricia,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Oceanografía,Grado,Facultad de Ciencias Químicas
Odontología,Grado,Facultad de Ciencias de la Comunicación
Operador Técnico de Estudio y Planta Transmisora de Radiodifusión,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Óptico Técnico,Grado,Facultad de Ciencias Sociales
Organización de Eventos,Grado,Facultad de Ciencias Agropecuarias
Paleontología,Grado,Facultad de Ciencias de la Comunicación
Periodismo y Comunicación,Grado,Facultad de Derecho
Piloto Privado y Comercial de Avión,Grado,Facultad de Ciencias Médicas
Podólogo Universitario,Grado,Facultad de Artes
Producción de Bioimágenes,Grado,Facultad de Filosofía y Humanidades
Producción Vegetal,Grado,Facultad de Ciencias Agropecuarias
Psicomotricidad,Grado,Facultad de Ciencias Económicas
Relaciones Laborales - Recursos Humanos,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Salud Ambiental,Grado,Facultad de Ciencias Económicas
Producción Vegetal Orgánica,Grado,Facultad de Ciencias Químicas
Producción y Dirección de Radio y TV,Grado,Facultad de Ciencias Médicas
"Producción de Medios Audiovisuales, Eventos y Espectáculos",Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Profesorado en Ciencias Económicas,Grado,Facultad de Lenguas
Profesorado en Comunicación Social,Grado,Facultad de Ciencias Sociales
Profesorado en Portugués,Grado,Facultad de Ciencias Económicas
Programador de Sistemas,Grado,Facultad de Ciencias de la Comunicación
Psicología Social,Grado,Facultad de Odontología
Psicomotricidad,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Publicidad,Grado,Facultad de Lenguas
Relaciones del Trabajo ,Grado,Facultad de Psicología
Salud Ambiental,Grado,Facultad de Ciencias Sociales
Seguridad Vial y Transporte,Grado,Facultad de Filosofía y Humanidades
Tecnología Educativa,Grado,Facultad de Ciencias Agropecuarias
Sistemas de Información de las Organizaciones,Grado,Facultad de Derecho
Sociología,Grado,Facultad de Psicología
Tecnología en Alimentos,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Terapia Ocupacional,Grado,Facultad de Filosofía y Humanidades
Trabajo Social,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Traductorado Público,Grado,Facultad de Derecho
Tripulante de Cabina de Pasajeros,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Turismo,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Visitador Medico - Agente de Propaganda medica,Grado,Facultad de Lenguas
Web,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Yoga,Grado,Facultad de Psicología
Administración,Posgrado,"Facultad de Matemática, Astronomía, Física y Computación "
Administración Aeronáutica,Posgrado,Facultad de Ciencias Médicas
Administración Bancaria,Posgrado,Facultad de Ciencias Sociales
Agente de Viajes y Turismo,Posgrado,Facultad de Odontología
Administración de Bienes Culturales,Posgrado,"Facultad de Arquitectura, Urbanismo y Diseño"
Administración de Salud,Posgrado,Facultad de Ciencias de la Comunicación
Administración de Servicios de Salud,Posgrado,Facultad de Filosofía y Humanidades
Artes Electrónicas,Posgrado,Facultad de Psicología
Asistente en Administración Hotelera,Posgrado,Facultad de Odontología
Astronomía,Posgrado,"Facultad de Arquitectura, Urbanismo y Diseño"
Bioinformática,Posgrado,Facultad de Psicología
Bioterio,Posgrado,Facultad de Odontología
Ciencias Ambientales,Posgrado,Facultad de Ciencias de la Comunicación
Canto,Posgrado,"Facultad de Arquitectura, Urbanismo y Diseño"
Chef Internacional,Posgrado,Facultad de Filosofía y Humanidades
Ciencias del Gobierno,Posgrado,"Facultad de Matemática, Astronomía, Física y Computación "
Creatividad Educativa,Posgrado,Facultad de Ciencias Agropecuarias
Ciencias Veterinarias,Posgrado,Facultad de Artes
Counseling,Posgrado,Facultad de Lenguas
Dermatocosmiatría,Posgrado,Facultad de Lenguas
Diagnóstico por Imágenes,Posgrado,Facultad de Ciencias Sociales
Dirección de Fotografía,Posgrado,Facultad de Filosofía y Humanidades
Diseño de Imagen y Sonido,Posgrado,Facultad de Ciencias Agropecuarias
Diseño de Joyas,Posgrado,Facultad de Derecho
Diseño de Modas,Posgrado,"Facultad de Matemática, Astronomía, Física y Computación "
Diseño del Paisaje,Posgrado,Facultad de Ciencias Económicas
Diseño en Animación y Efectos Visuales,Posgrado,Facultad de Odontología
Diseño Escenográfico,Posgrado,Facultad de Ciencias Económicas
Diseño Multimedial,Posgrado,Facultad de Ciencias Agropecuarias
Enfermería,Posgrado,Facultad de Ciencias Agropecuarias
Gastronomía,Posgrado,Facultad de Odontología
Ingeniería Electricista,Posgrado,Facultad de Ciencias Médicas
Ingeniería en Ecología,Posgrado,"Facultad de Arquitectura, Urbanismo y Diseño"
Ingeniería Química,Posgrado,Facultad de Odontología
Musicoterapia,Posgrado,Facultad de Filosofía y Humanidades
Observador Meteorológico,Posgrado,Facultad de Odontología
Seguridad Ciudadana,Posgrado,Facultad de Ciencias Médicas
"Producción y Dirección de Televisión, Cine y Radio",Posgrado,Facultad de Filosofía y Humanidades
Profesorado en Artes Plásticas,Posgrado,Facultad de Artes
Psicología  ,Posgrado,Facultad de Lenguas
Psicopedagogía,Posgrado,Facultad de Psicología
Teatro,Posgrado,"Facultad de Arquitectura, Urbanismo y Diseño"
Tecnicatura Universitaria en Web,Posgrado,"Facultad de Arquitectura, Urbanismo y Diseño"
Vestuarista,Posgrado,Facultad de Artes
